assetid,event_count,title
1677311,154,Доспехи бога: В поисках сокровищ
1539728,153,Мотылек UHD HDR
2236089,153,Опасная миссия UHD
344232,152,Страховщик
344998,151,На гребне волны
171730,150,Джек Ричер
2100392,150,Рэмбо: Последняя кровь UHD HDR
335412,149,Профессор в законе
2214133,149,Аркадия
460537,148,Похищенная
2548379,148,Смоки и Бандит 2
478173,148,Ван Хельсинг
571262,148,Мачо и ботан 2
2204076,148,Под прицелом
2100414,147,Рэмбо: Последняя кровь UHD
340900,147,Транзит
571374,147,Охотник за головами
2387418,146,Французский транзит UHD HDR
336896,146,"Хлеб, золото, наган"
462346,146,Запрещённая реальность
793118,146,Король Артур
2010513,146,Искусство обмана
816197,145,Призрачный патруль
346965,145,Катала
2064579,144,Похищение Фредди Хайнекена UHD HDR
341733,143,На грани
2070146,143,Черный орел
330500,143,Угнать за 60 секунд
1244732,143,Четверо против банка
341691,143,Война Богов: Бессмертные
1728077,142,Ограбление по Фрейду
571213,142,Братья из Гримсби
1274726,142,Другой мир
465790,142,Индиана Джонс: В поисках утраченного ковчега
341978,141,Средь бела дня
2389046,141,Эверли UHD HDR
345516,140,Вавилон Н.Э.
283141,140,Особое мнение
1677531,140,Кикбоксер возвращается
317306,140,Особо опасен
2548064,140,Детоксикация
571129,139,5-я волна
2126552,139,"Длинное, длинное дело"
2384523,139,Зачинщики UHD
341628,138,Место под соснами
1329372,138,Лучший стрелок
2118315,138,Первая любовь
356254,137,Око разума
1824321,136,Последний киногерой
330717,135,13-й воин
1787647,135,22 мили UHD
491750,133,Парк Юрского периода 2: Затерянный мир
570930,132,Кингсглейв: Последняя фантазия XV
571297,131,После нашей эры
1469944,131,Акт мести UHD HDR
339808,130,Идеальный побег
346671,130,По прозвищу «Зверь»
335027,129,Тень
